prcp (mm/day),tmax (deg c),tmin (deg c),330_SWE (m),392_SWE (m),393_SWE (m),763_SWE (m),533_SWE (m),684_SWE (m),814_SWE (m),896_SWE (m),1118_SWE (m),1145_SWE (m)
0.0,-9.89,-23.43,0.13462,0.2158999999999999,0.1676399999999999,0.13462,,,,,,
0.0,-4.54,-19.42,0.13462,0.21844,0.1676399999999999,0.13462,,,,,,
0.0,-2.09,-11.7,0.13716,0.21844,0.1676399999999999,0.13462,,,,,,
0.0,0.77,-9.67,0.13716,0.2209799999999999,0.17018,0.13462,,,,,,
0.0,1.91,-4.03,0.1397,0.2209799999999999,0.17018,0.13716,,,,,,
0.0,2.25,-5.38,0.1397,0.2209799999999999,0.17018,0.1422399999999999,,,,,,
3.16,0.37,-7.0,0.1397,0.22606,0.1727199999999999,0.14478,,,,,,
2.69,0.77,-5.15,0.1422399999999999,0.2311399999999999,0.1777999999999999,0.14986,,,,,,
0.0,-0.99,-9.17,0.1397,0.23622,0.18288,0.14986,,,,,,
0.0,-1.59,-8.85,0.13716,0.23622,0.18288,0.14986,,,,,,
0.0,-3.66,-19.54,0.13462,0.2336799999999999,0.18288,0.1473199999999999,,,,,,
0.0,-4.06,-18.63,0.13462,0.2336799999999999,0.18288,0.1473199999999999,,,,,,
0.0,0.17,-14.71,0.1397,0.2336799999999999,0.18288,0.1473199999999999,,,,,,
0.0,1.47,-11.76,0.14478,0.2336799999999999,0.1803399999999999,0.14986,,,,,,
1.0,-0.37,-10.1,0.1473199999999999,0.23622,0.1803399999999999,0.14986,,,,,,
1.44,1.49,-9.16,0.15494,0.2413,0.18288,0.15748,,,,,,
1.29,5.07,-4.4,0.16002,0.2438399999999999,0.18796,0.16256,,,,,,
2.01,4.81,-5.16,0.16002,0.2438399999999999,0.1905,0.16256,,,,,,
0.0,3.15,-11.21,0.1676399999999999,0.25654,0.19558,0.17018,,,,,,
3.99,2.42,-5.49,0.1727199999999999,0.25654,0.19558,0.1727199999999999,,,,,,
0.0,-0.03,-15.65,0.1777999999999999,0.2667,0.2032,0.1777999999999999,,,,,,
0.0,1.52,-11.55,0.1803399999999999,0.2667,0.2032,0.1803399999999999,,,,,,
0.0,1.55,-10.37,0.1803399999999999,0.2667,0.2032,0.1803399999999999,,,,,,
5.41,1.74,-4.69,0.18796,0.27686,0.21082,0.18796,,,,,,
1.62,0.5,-9.24,0.19558,0.2920999999999999,0.2209799999999999,0.19812,,,,,,
0.5,-3.35,-17.25,0.19558,0.2920999999999999,0.2209799999999999,0.19812,,,,,,
