330_SWE (m),392_SWE (m),393_SWE (m),763_SWE (m)
0.13462,0.2158999999999999,0.1676399999999999,0.13462
0.13462,0.21844,0.1676399999999999,0.13462
0.13716,0.21844,0.1676399999999999,0.13462
0.13716,0.2209799999999999,0.17018,0.13462
0.1397,0.2209799999999999,0.17018,0.13716
0.1397,0.2209799999999999,0.17018,0.1422399999999999
0.1397,0.22606,0.1727199999999999,0.14478
0.1422399999999999,0.2311399999999999,0.1777999999999999,0.14986
0.1397,0.23622,0.18288,0.14986
0.13716,0.23622,0.18288,0.14986
0.13462,0.2336799999999999,0.18288,0.1473199999999999
0.13462,0.2336799999999999,0.18288,0.1473199999999999
0.1397,0.2336799999999999,0.18288,0.1473199999999999
0.14478,0.2336799999999999,0.1803399999999999,0.14986
0.1473199999999999,0.23622,0.1803399999999999,0.14986
0.15494,0.2413,0.18288,0.15748
0.16002,0.2438399999999999,0.18796,0.16256
0.16002,0.2438399999999999,0.1905,0.16256
0.1676399999999999,0.25654,0.19558,0.17018
0.1727199999999999,0.25654,0.19558,0.1727199999999999
0.1777999999999999,0.2667,0.2032,0.1777999999999999
0.1803399999999999,0.2667,0.2032,0.1803399999999999
0.1803399999999999,0.2667,0.2032,0.1803399999999999
0.18796,0.27686,0.21082,0.18796
0.19558,0.2920999999999999,0.2209799999999999,0.19812
0.19558,0.2920999999999999,0.2209799999999999,0.19812
0.19558,0.2920999999999999,0.2209799999999999,0.19812
0.19558,0.2946399999999999,0.2209799999999999,0.19812
0.19558,0.2946399999999999,0.2209799999999999,0.19812
0.2082799999999999,0.30734,0.22606,0.2082799999999999
0.2209799999999999,0.33782,0.24892,0.21844
0.22352,0.33782,0.254,0.22352
0.22606,0.35306,0.26416,0.2311399999999999
0.22606,0.35306,0.26416,0.2311399999999999
0.22606,0.35306,0.26416,0.2311399999999999
0.2311399999999999,0.3606799999999999,0.2667,0.23876
0.2311399999999999,0.3606799999999999,0.2667,0.23876
0.2311399999999999,0.3606799999999999,0.2667,0.23876
0.2311399999999999,0.3606799999999999,0.2667,0.23876
0.2311399999999999,0.3606799999999999,0.2667,0.23876
0.2311399999999999,0.3606799999999999,0.2667,0.23876
0.2311399999999999,0.3606799999999999,0.2667,0.23876
0.2311399999999999,0.3606799999999999,0.2667,0.23876
0.2311399999999999,0.3606799999999999,0.2667,0.23876
0.2311399999999999,0.3606799999999999,0.2667,0.23876
0.23876,0.36576,0.2717799999999999,0.2438399999999999
0.2413,0.36576,0.2717799999999999,0.2438399999999999
0.2413,0.36576,0.2717799999999999,0.2438399999999999
0.2413,0.36576,0.2717799999999999,0.2438399999999999
0.254,0.38354,0.2794,0.25654
0.254,0.38354,0.2844799999999999,0.25908
0.254,0.38354,0.28702,0.25908
0.254,0.38354,0.28702,0.25908
0.254,0.39116,0.28956,0.25908
0.254,0.39116,0.28702,0.26162
0.254,0.39116,0.2844799999999999,0.26162
0.254,0.39116,0.2819399999999999,0.26416
0.254,0.39116,0.27686,0.26416
0.254,0.39116,0.27432,0.26416
0.254,0.39116,0.27432,0.26416
0.254,0.39116,0.27432,0.26416
0.254,0.39116,0.27432,0.26416
0.254,0.39624,0.2794,0.2667
0.25146,0.39624,0.2794,0.25654
0.2438399999999999,0.39624,0.2794,0.24892
0.2413,0.39624,0.2819399999999999,0.2463799999999999
0.2463799999999999,0.40132,0.2844799999999999,0.24892
0.24892,0.4064,0.2946399999999999,0.24892
0.24892,0.40894,0.30226,0.24892
0.25146,0.41402,0.30734,0.25146
0.25146,0.41402,0.31242,0.25146
0.24892,0.41402,0.31242,0.24892
0.2463799999999999,0.41402,0.31242,0.2463799999999999
0.2438399999999999,0.41402,0.31242,0.2438399999999999
0.25146,0.43434,0.32258,0.24892
0.25908,0.4419599999999999,0.32258,0.254
0.25908,0.4419599999999999,0.32258,0.254
0.25908,0.4419599999999999,0.32258,0.254
0.25908,0.4419599999999999,0.32258,0.254
0.25908,0.43942,0.3175,0.254
0.25146,0.43688,0.30988,0.254
0.24892,0.43688,0.30226,0.25654
0.26416,0.4622799999999999,0.32766,0.26162
0.2717799999999999,0.4749799999999999,0.33782,0.26924
0.2717799999999999,0.47752,0.3429,0.2717799999999999
0.27432,0.4800599999999999,0.3429,0.2717799999999999
0.27432,0.4826,0.3429,0.27432
0.27432,0.4800599999999999,0.3429,0.27432
0.28702,0.4927599999999999,0.3454399999999999,0.27686
0.2971799999999999,0.51308,0.35306,0.2844799999999999
0.30226,0.5206999999999999,0.3555999999999999,0.28702
0.30226,0.5334,0.3606799999999999,0.2971799999999999
0.30226,0.5334,0.3606799999999999,0.2946399999999999
0.2971799999999999,0.5308599999999999,0.3606799999999999,0.28956
0.28956,0.5257799999999999,0.3555999999999999,0.2844799999999999
0.2844799999999999,0.52324,0.35306,0.27686
0.2819399999999999,0.5206999999999999,0.35306,0.27432
0.26416,0.51816,0.35306,0.26416
0.2463799999999999,0.51054,0.35306,0.254
0.22352,0.5003799999999999,0.3479799999999999,0.2336799999999999
0.21336,0.49022,0.3429,0.21336
0.2032,0.4749799999999999,0.33782,0.19558
0.19812,0.4673599999999999,0.33274,0.18542
0.1803399999999999,0.4546599999999999,0.32258,0.1676399999999999
0.15748,0.43942,0.30734,0.1523999999999999
0.15748,0.4546599999999999,0.3175,0.1523999999999999
0.16256,0.45974,0.31496,0.15494
0.14986,0.45974,0.32258,0.15748
0.1422399999999999,0.45974,0.32258,0.14478
0.1422399999999999,0.46482,0.32258,0.13716
0.1422399999999999,0.4572,0.31496,0.127
0.1219199999999999,0.45212,0.30226,0.11176
0.09144,0.43434,0.2794,0.0838199999999999
0.06604,0.40894,0.254,0.05588
0.0761999999999999,0.4191,0.254,0.05334
0.08128,0.4191,0.25146,0.0508
0.0838199999999999,0.42672,0.25146,0.0508
0.0888999999999999,0.4445,0.26416,0.0584199999999999
0.0838199999999999,0.4445,0.25908,0.05334
0.0838199999999999,0.45212,0.26924,0.0635
0.08128,0.4546599999999999,0.2717799999999999,0.0635
0.0736599999999999,0.45212,0.26416,0.0584199999999999
0.0584199999999999,0.44958,0.25908,0.04826
0.0355599999999999,0.4419599999999999,0.23876,0.02286
0.0127,0.42672,0.21336,0.0
0.0,0.40132,0.18288,0.0
0.0,0.37592,0.15748,0.0
0.00508,0.37592,0.1473199999999999,0.0
0.0,0.37592,0.1422399999999999,0.0
0.0177799999999999,0.39624,0.15748,0.0076199999999999
0.00508,0.38354,0.13462,0.0
0.0,0.381,0.1219199999999999,0.0
0.0,0.37338,0.09144,0.0
0.0,0.35306,0.0609599999999999,0.0
0.0,0.3302,0.0380999999999999,0.0
0.0,0.30988,0.0254,0.0
0.0,0.3047999999999999,0.0177799999999999,0.0
0.0,0.32258,0.0127,0.0
0.0,0.3175,0.0076199999999999,0.0
0.0,0.30734,0.00508,0.0
0.0,0.2819399999999999,0.0,0.0
0.0,0.25146,0.0,0.0
0.0,0.24892,0.0,0.0
0.0,0.2463799999999999,0.0,0.0
0.0,0.2413,0.0,0.0
0.0,0.2311399999999999,0.0,0.0
0.0,0.21336,0.0,0.0
0.0,0.19558,0.0,0.0
0.0,0.17526,0.0,0.0
0.0,0.14986,0.0,0.0
0.0,0.12446,0.0,0.0
0.0,0.09144,0.0,0.0
0.0,0.0609599999999999,0.0,0.0
0.0,0.02286,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
